"weekday","Age","Gender","Alcohol_Results","Drug_Involvement","Atmospheric_Condition","Roadway","Fatality"
4,42,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
5,63,"Female",,"Not Reported","Clear","Rural-Local Road or Street","no_fatal"
7,5,"Female",,"Not Reported","Clear","Rural-Minor Collector","no_fatal"
7,24,"Female",,"Not Reported","Clear","Rural-Local Road or Street","no_fatal"
7,19,"Male",,"Not Reported","Rain","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
4,31,"Female","0.0","Unknown","Cloudy","Rural-Minor Arterial","fatal"
7,49,"Female","0.28","Not Reported","Clear","Rural-Principal Arterial-Other","fatal"
3,17,"Male",,"No","Clear","Urban-Local Road or Street","no_fatal"
1,85,"Male",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
5,6,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
3,14,"Female",,"Not Reported","Clear","Rural-Minor Arterial","no_fatal"
4,19,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
7,46,"Female","0.0","No","Rain","Rural-Principal Arterial-Interstate","no_fatal"
3,3,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
2,37,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
4,95,"Male","0.0","Unknown","Clear","Rural-Minor Arterial","fatal"
5,57,"Male","0.04","Unknown","Clear","Urban-Local Road or Street","fatal"
2,44,"Male","0.0","Unknown","Clear","Rural-Major Collector","fatal"
3,29,"Male",,"No","Snow","Rural-Principal Arterial-Other","no_fatal"
3,,"Unknown",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
6,73,"Female","0.0","Not Reported","Clear","Urban-Minor Arterial","fatal"
6,53,"Female",,"Not Reported","Cloudy","Rural-Principal Arterial-Other","no_fatal"
5,51,"Male",,"Not Reported","Clear","Urban-Collector","fatal"
5,28,"Female","0.0","Not Reported","Cloudy","Rural-Minor Arterial","no_fatal"
3,16,"Female","0.0","Not Reported","Clear","Rural-Local Road or Street","fatal"
6,23,"Female",,"No","Clear","Rural-Major Collector","no_fatal"
7,44,"Female",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
4,55,"Female","0.0","Yes","Clear","Rural-Principal Arterial-Other","fatal"
5,67,"Female",,"No","Clear","Rural-Minor Arterial","no_fatal"
5,12,"Male",,"Not Reported","Clear","Rural-Major Collector","no_fatal"
6,56,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
5,32,"Female",,"Not Reported","Cloudy","Urban-Other Principal Arterial","no_fatal"
1,17,"Female",,"No","Rain","Rural-Principal Arterial-Other","no_fatal"
5,47,"Male","0.19","Not Reported","Cloudy","Rural-Major Collector","fatal"
6,74,"Male",,"No","Cloudy","Rural-Local Road or Street","no_fatal"
4,34,"Male",,"Not Reported","Clear","Rural-Local Road or Street","no_fatal"
6,38,"Male","0.16","No","Clear","Urban-Collector","fatal"
3,21,"Male","0.0","Not Reported","Clear","Urban-Other Principal Arterial","fatal"
7,41,"Female",,"Not Reported","Clear","Rural-Major Collector","fatal"
1,18,"Male",,"Not Reported","Clear","Urban-Minor Arterial","no_fatal"
6,43,"Female",,"Not Reported","Cloudy","Urban-Local Road or Street","no_fatal"
4,32,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
7,,"Not Reported",,"Not Reported","Cloudy","Rural-Local Road or Street","no_fatal"
5,27,"Male","0.15","No","Clear","Urban-Principal Arterial-Other Freeways or Expressways","fatal"
5,11,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
6,17,"Male","0.14","Not Reported","Rain","Rural-Major Collector","fatal"
6,69,"Female",,"No","Cloudy","Urban-Other Principal Arterial","no_fatal"
5,31,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
5,19,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
7,42,"Female",,"No","Clear","Urban-Collector","no_fatal"
6,24,"Male","0.26","No","Clear","Urban-Other Principal Arterial","fatal"
3,25,"Male","0.16","Unknown","Clear","Rural-Local Road or Street","fatal"
5,41,"Female","0.0","Not Reported","Clear","Rural-Minor Arterial","no_fatal"
4,25,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
7,68,"Female",,"Not Reported","Blowing Snow","Rural-Principal Arterial-Other","no_fatal"
5,33,"Male","0.22","Not Reported","Clear","Rural-Minor Collector","fatal"
1,64,"Male",,"No","Clear","Urban-Other Principal Arterial","no_fatal"
7,5,"Female",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
7,46,"Female",,"Unknown","Clear","Urban-Collector","no_fatal"
7,8,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
1,8,"Female",,"No","Cloudy","Rural-Principal Arterial-Other","no_fatal"
5,33,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
6,54,"Female","0.24","Unknown","Clear","Rural-Minor Arterial","fatal"
1,67,"Male","0.0","Not Reported","Clear","Rural-Minor Arterial","fatal"
7,24,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
4,78,"Male","0.15","No","Clear","Urban-Local Road or Street","fatal"
4,73,"Male","0.0","Not Reported","Clear","Rural-Minor Arterial","fatal"
2,33,"Male",,"No","Cloudy","Rural-Local Road or Street","no_fatal"
6,32,"Male","0.0","Yes","Clear","Rural-Major Collector","fatal"
1,39,"Female","\N","Not Reported","Clear","Urban-Minor Arterial","no_fatal"
1,3,"Male",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
7,17,"Female",,"No","Clear","Rural-Major Collector","no_fatal"
6,6,"Female",,"Not Reported","Cloudy","Urban-Other Principal Arterial","no_fatal"
7,30,"Female",,"No","Clear","Rural-Principal Arterial-Other","no_fatal"
2,2,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
6,23,"Male",,"Not Reported","Snow","Urban-Principal Arterial-Interstate","no_fatal"
6,51,"Male",,"No","Rain","Rural-Major Collector","no_fatal"
6,68,"Male","0.11","Unknown","Clear","Rural-Minor Arterial","fatal"
4,19,"Male",,"Not Reported","Clear","Rural-Minor Arterial","fatal"
5,22,"Male","0.0","No","Snow","Rural-Minor Collector","no_fatal"
5,17,"Female","0.0","Unknown","Clear","Rural-Principal Arterial-Other","fatal"
6,62,"Male",,"No","Clear","Rural-Minor Arterial","no_fatal"
3,87,"Male","0.0","No","Clear","Urban-Other Principal Arterial","fatal"
1,66,"Male",,"No","Clear","Urban-Other Principal Arterial","no_fatal"
6,52,"Male","0.0","Unknown","Clear","Rural-Principal Arterial-Interstate","no_fatal"
6,19,"Male","0.0","No","Clear","Rural-Minor Arterial","fatal"
4,62,"Male","0.0","Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
6,62,"Male","\N","Yes","Clear","Rural-Local Road or Street","fatal"
7,28,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
2,35,"Female",,"Not Reported","Clear","Rural-Minor Arterial","no_fatal"
4,43,"Female",,"Not Reported","Clear","Urban-Local Road or Street","no_fatal"
4,46,"Female",,"No","Clear","Urban-Other Principal Arterial","no_fatal"
5,19,"Male","0.18","No","Clear","Rural-Major Collector","fatal"
1,89,"Female",,"Not Reported","Clear","Urban-Minor Arterial","no_fatal"
5,39,"Male","0.02","Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
2,30,"Female","0.0","Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
7,47,"Male","\N","Not Reported","Clear","Urban-Local Road or Street","no_fatal"
5,68,"Male",,"No","Clear","Urban-Minor Arterial","no_fatal"
2,41,"Male","0.32","No","Clear","Urban-Other Principal Arterial","fatal"
1,20,"Male","0.17","No","Clear","Rural-Minor Collector","fatal"
5,26,"Male",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
3,39,"Male",,"Not Reported","Clear","Urban-Local Road or Street","no_fatal"
6,64,"Female","0.15","No","Clear","Rural-Major Collector","fatal"
7,20,"Male","0.1","No","Clear","Unknown","fatal"
3,57,"Male",,"No","Cloudy","Urban-Other Principal Arterial","no_fatal"
2,70,"Male","0.0","Not Reported","Clear","Rural-Minor Arterial","fatal"
5,41,"Female","0.0","Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
6,2,"Male",,"Not Reported","Clear","Rural-Minor Collector","no_fatal"
7,44,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
5,21,"Male",,"Not Reported","Cloudy","Urban-Local Road or Street","no_fatal"
7,35,"Male",,"No","Clear","Rural-Local Road or Street","no_fatal"
3,76,"Male","0.0","Not Reported","Clear","Rural-Principal Arterial-Other","fatal"
5,45,"Male",,"No","Clear","Urban-Principal Arterial-Interstate","no_fatal"
5,23,"Male","\N","Not Reported","Cloudy","Urban-Local Road or Street","no_fatal"
3,17,"Male",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
1,31,"Female","0.0","No","Cloudy","Rural-Principal Arterial-Other","no_fatal"
3,20,"Female",,"Not Reported","Rain","Urban-Other Principal Arterial","no_fatal"
1,29,"Female",,"Not Reported","Clear","Rural-Local Road or Street","no_fatal"
6,34,"Male","0.27","Not Reported","Clear","Rural-Principal Arterial-Other","fatal"
5,50,"Male",,"No","Clear","Rural-Principal Arterial-Interstate","no_fatal"
3,54,"Female",,"No","Cloudy","Urban-Principal Arterial-Interstate","no_fatal"
5,36,"Male",,"Unknown","Rain","Rural-Minor Arterial","fatal"
1,22,"Female",,"No","Clear","Urban-Collector","fatal"
7,2,"Male",,"Not Reported","Clear","Rural-Major Collector","no_fatal"
7,57,"Male",,"No","Cloudy","Urban-Local Road or Street","no_fatal"
6,50,"Male","0.1","Not Reported","Blowing Snow","Urban-Principal Arterial-Other Freeways or Expressways","fatal"
7,22,"Male",,"Not Reported","Clear","Urban-Minor Arterial","no_fatal"
7,16,"Male",,"No","Clear","Rural-Minor Collector","no_fatal"
3,63,"Male","0.0","Unknown","Clear","Urban-Principal Arterial-Other Freeways or Expressways","fatal"
3,55,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
2,55,"Male","\N","Not Reported","Cloudy","Rural-Local Road or Street","fatal"
1,26,"Male","\N","Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
6,32,"Male","0.14","No","Clear","Rural-Major Collector","no_fatal"
3,32,"Male","0.0","No","Snow","Rural-Minor Arterial","no_fatal"
3,59,"Male",,"Not Reported","Clear","Urban-Local Road or Street","no_fatal"
3,24,"Male","0.03","Unknown","Clear","Rural-Principal Arterial-Other","no_fatal"
5,39,"Male","0.23","Yes","Cloudy","Rural-Minor Arterial","fatal"
2,23,"Male",,"No","Rain","Urban-Other Principal Arterial","no_fatal"
4,18,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
5,22,"Male","0.0","Unknown","Clear","Rural-Major Collector","fatal"
6,0,"Female",,"Not Reported","Clear","Rural-Major Collector","no_fatal"
4,50,"Male","0.0","No","Clear","Urban-Local Road or Street","no_fatal"
5,32,"Female","0.0","No","Clear","Rural-Local Road or Street","fatal"
6,19,"Female",,"No","Cloudy","Rural-Principal Arterial-Other","no_fatal"
3,33,"Male",,"Not Reported","Clear","Urban-Local Road or Street","fatal"
6,45,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
3,42,"Male","0.0","Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
6,73,"Male","0.05","No","Clear","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
5,22,"Male",,"No","Clear","Urban-Other Principal Arterial","no_fatal"
1,51,"Male","0.07","No","Clear","Rural-Local Road or Street","fatal"
7,19,"Male","0.0","Not Reported","Clear","Urban-Minor Arterial","no_fatal"
4,4,"Male",,"Not Reported","Clear","Urban-Minor Arterial","no_fatal"
6,38,"Male","0.23","Not Reported","Unknown","Rural-Principal Arterial-Other","fatal"
2,33,"Male",,"Not Reported","Cloudy","Urban-Minor Arterial","no_fatal"
6,30,"Female",,"Not Reported","Clear","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
3,26,"Female","0.0","Not Reported","Cloudy","Rural-Major Collector","no_fatal"
5,46,"Female","0.1","No","Rain","Rural-Principal Arterial-Other","fatal"
6,52,"Male",,"No","Rain","Rural-Principal Arterial-Other","no_fatal"
1,34,"Female","0.0","Yes","Rain","Urban-Local Road or Street","fatal"
6,27,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
7,21,"Male","0.08","Not Reported","Clear","Urban-Other Principal Arterial","fatal"
1,51,"Male","0.0","Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
6,72,"Male","0.0","No","Snow","Rural-Principal Arterial-Other","no_fatal"
7,38,"Male",,"Unknown","Clear","Urban-Other Principal Arterial","fatal"
7,46,"Male","0.24","No","Clear","Rural-Principal Arterial-Interstate","fatal"
6,22,"Female",,"Not Reported","Clear","Urban-Minor Arterial","no_fatal"
6,52,"Male",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
3,16,"Male","0.12","Unknown","Clear","Rural-Local Road or Street","fatal"
6,3,"Female",,"No","Clear","Urban-Other Principal Arterial","no_fatal"
1,27,"Female",,"Not Reported","Rain","Urban-Other Principal Arterial","no_fatal"
3,66,"Male",,"No","Clear","Rural-Minor Arterial","no_fatal"
4,23,"Male","0.08","Not Reported","Clear","Urban-Minor Arterial","no_fatal"
4,21,"Male","0.0","Yes","Clear","Urban-Principal Arterial-Interstate","fatal"
4,51,"Male","0.25","Not Reported","Rain","Rural-Minor Arterial","fatal"
6,15,"Male",,"Not Reported","Cloudy","Urban-Principal Arterial-Interstate","no_fatal"
4,46,"Male","0.0","Unknown","Clear","Rural-Minor Collector","no_fatal"
6,19,"Male","0.0","Unknown","Clear","Rural-Minor Arterial","fatal"
2,26,"Female","0.0","Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
4,45,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
4,27,"Male","0.14","No","Cloudy","Rural-Major Collector","fatal"
4,14,"Male",,"No","Clear","Rural-Major Collector","no_fatal"
6,30,"Male","0.08","No","Clear","Urban-Local Road or Street","no_fatal"
3,54,"Male",,"No","Cloudy","Rural-Minor Arterial","no_fatal"
3,33,"Male",,"Unknown","Snow","Rural-Minor Collector","fatal"
3,41,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
1,45,"Male","0.0","No","Snow","Rural-Minor Arterial","no_fatal"
4,30,"Male",,"Not Reported","Cloudy","Rural-Principal Arterial-Interstate","no_fatal"
1,0,"Male",,"Not Reported","Clear","Urban-Minor Arterial","no_fatal"
4,17,"Male",,"No","Fog, Smog, Smoke","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
1,44,"Male","0.0","Yes","Other","Urban-Other Principal Arterial","no_fatal"
7,51,"Male",,"Not Reported","Rain","Urban-Local Road or Street","no_fatal"
7,26,"Female",,"Not Reported","Clear","Rural-Minor Arterial","no_fatal"
5,21,"Female","0.0","Unknown","Cloudy","Urban-Minor Arterial","no_fatal"
7,22,"Male","0.23","No","Clear","Rural-Minor Arterial","fatal"
5,47,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
7,40,"Male",,"No","Clear","Rural-Principal Arterial-Other","no_fatal"
2,29,"Male",,"Not Reported","Clear","Rural-Minor Arterial","no_fatal"
1,28,"Male","0.02","Yes","Cloudy","Rural-Minor Collector","no_fatal"
2,66,"Male",,"No","Clear","Rural-Principal Arterial-Other","no_fatal"
6,58,"Male","0.11","Unknown","Clear","Urban-Minor Arterial","fatal"
1,28,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
4,33,"Male",,"Not Reported","Cloudy","Rural-Minor Arterial","no_fatal"
5,15,"Male",,"Not Reported","Clear","Urban-Local Road or Street","no_fatal"
6,30,"Male","0.22","No","Clear","Rural-Minor Arterial","fatal"
3,22,"Female","0.35","No","Clear","Urban-Local Road or Street","fatal"
7,22,"Male","0.12","Not Reported","Clear","Rural-Major Collector","fatal"
2,50,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
4,27,"Female",,"Not Reported","Cloudy","Urban-Minor Arterial","no_fatal"
1,50,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
3,16,"Female",,"No","Rain","Rural-Minor Arterial","no_fatal"
4,19,"Female",,"Not Reported","Cloudy","Urban-Minor Arterial","no_fatal"
6,51,"Male","0.21","Unknown","Clear","Rural-Local Road or Street","fatal"
3,16,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
3,88,"Male","0.0","Not Reported","Rain","Urban-Local Road or Street","fatal"
7,24,"Female","0.0","Unknown","Sleet, Hail (Freezing Rain or Drizzle)","Rural-Minor Arterial","fatal"
5,24,"Female",,"Not Reported","Clear","Rural-Minor Arterial","no_fatal"
2,31,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
7,19,"Male",,"Yes","Clear","Urban-Local Road or Street","no_fatal"
2,16,"Female",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
6,35,"Male",,"No","Cloudy","Urban-Principal Arterial-Interstate","no_fatal"
6,48,"Male","0.2","No","Clear","Urban-Local Road or Street","no_fatal"
5,61,"Male","0.0","Not Reported","Clear","Urban-Other Principal Arterial","fatal"
6,31,"Male",,"No","Clear","Urban-Principal Arterial-Interstate","no_fatal"
2,54,"Male","\N","Yes","Clear","Urban-Local Road or Street","no_fatal"
2,30,"Male",,"No","Clear","Urban-Minor Arterial","no_fatal"
5,62,"Male","0.22","Unknown","Clear","Urban-Other Principal Arterial","fatal"
5,18,"Male",,"Not Reported","Cloudy","Urban-Other Principal Arterial","no_fatal"
1,58,"Male",,"No","Clear","Rural-Principal Arterial-Other","no_fatal"
7,30,"Male",,"Not Reported","Cloudy","Urban-Other Principal Arterial","no_fatal"
4,17,"Male",,"No","Clear","Urban-Minor Arterial","no_fatal"
7,70,"Male","0.15","No","Clear","Rural-Minor Arterial","fatal"
1,50,"Male",,"Not Reported","Clear","Urban-Collector","no_fatal"
2,76,"Female",,"Not Reported","Blowing Snow","Rural-Major Collector","no_fatal"
3,41,"Female","0.0","No","Cloudy","Rural-Minor Arterial","fatal"
5,43,"Male","0.15","Not Reported","Clear","Rural-Major Collector","fatal"
3,68,"Male","0.0","Not Reported","Clear","Urban-Minor Arterial","no_fatal"
6,48,"Female","0.22","Not Reported","Clear","Urban-Other Principal Arterial","fatal"
6,56,"Male",,"No","Clear","Rural-Local Road or Street","no_fatal"
7,17,"Male",,"Unknown","Clear","Rural-Major Collector","no_fatal"
5,21,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
2,34,"Female","0.26","Yes","Cloudy","Rural-Major Collector","fatal"
2,19,"Male",,"No","Clear","Urban-Collector","no_fatal"
6,52,"Male","0.0","Unknown","Clear","Rural-Principal Arterial-Other","fatal"
1,70,"Male","0.05","Unknown","Clear","Urban-Minor Arterial","fatal"
7,62,"Female",,"Not Reported","Clear","Rural-Minor Arterial","no_fatal"
2,71,"Male","0.0","No","Snow","Rural-Principal Arterial-Interstate","no_fatal"
5,29,"Male","0.0","Unknown","Clear","Urban-Principal Arterial-Other Freeways or Expressways","fatal"
1,31,"Male","0.0","Not Reported","Clear","Urban-Local Road or Street","fatal"
2,32,"Female",,"Not Reported","Clear","Rural-Major Collector","no_fatal"
4,56,"Male",,"No","Cloudy","Urban-Collector","no_fatal"
2,38,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
2,53,"Female","0.0","No","Rain","Rural-Major Collector","no_fatal"
3,55,"Female",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
6,18,"Male",,"Unknown","Clear","Rural-Local Road or Street","no_fatal"
7,44,"Female","0.0","Not Reported","Clear","Rural-Minor Arterial","no_fatal"
6,18,"Female",,"Not Reported","Clear","Rural-Unknown Rural","no_fatal"
7,20,"Female",,"Unknown","Cloudy","Urban-Minor Arterial","fatal"
1,46,"Female",,"No","Clear","Rural-Major Collector","no_fatal"
7,21,"Female","0.0","No","Clear","Urban-Principal Arterial-Interstate","no_fatal"
2,37,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
7,37,"Male",,"No","Clear","Urban-Principal Arterial-Interstate","no_fatal"
4,63,"Female",,"Not Reported","Clear","Urban-Local Road or Street","no_fatal"
7,38,"Female","0.12","Not Reported","Clear","Rural-Local Road or Street","fatal"
4,72,"Female",,"Not Reported","Clear","Urban-Minor Arterial","no_fatal"
3,22,"Male",,"No","Cloudy","Urban-Other Principal Arterial","no_fatal"
3,53,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
4,26,"Male","0.12","Not Reported","Clear","Urban-Minor Arterial","no_fatal"
6,21,"Male","0.27","No","Clear","Rural-Major Collector","fatal"
7,63,"Male","0.13","No","Clear","Rural-Minor Collector","fatal"
7,26,"Male","0.25","Not Reported","Clear","Rural-Local Road or Street","fatal"
5,56,"Male","0.0","No","Cloudy","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
6,4,"Male",,"Not Reported","Clear","Urban-Local Road or Street","no_fatal"
1,31,"Male",,"No","Cloudy","Urban-Minor Arterial","no_fatal"
2,27,"Male","0.0","Not Reported","Clear","Urban-Principal Arterial-Other Freeways or Expressways","fatal"
7,68,"Female",,"No","Clear","Rural-Principal Arterial-Interstate","no_fatal"
6,24,"Male",,"Not Reported","Clear","Rural-Minor Arterial","no_fatal"
5,17,"Male",,"Not Reported","Clear","Rural-Unknown Rural","fatal"
7,35,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
3,57,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
2,62,"Female",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
5,19,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
5,33,"Male","0.0","Unknown","Clear","Rural-Minor Arterial","fatal"
7,19,"Female",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
1,14,"Male",,"Not Reported","Rain","Rural-Minor Arterial","fatal"
6,24,"Female",,"Not Reported","Clear","Urban-Local Road or Street","no_fatal"
1,77,"Male",,"Not Reported","Cloudy","Urban-Local Road or Street","fatal"
2,38,"Male","0.0","Yes","Clear","Rural-Principal Arterial-Other","fatal"
5,3,"Male",,"Not Reported","Clear","Rural-Local Road or Street","no_fatal"
7,43,"Female","0.0","Unknown","Cloudy","Urban-Principal Arterial-Interstate","fatal"
2,28,"Female",,"Not Reported","Snow","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
2,37,"Male",,"Unknown","Clear","Rural-Unknown Rural","fatal"
1,78,"Male",,"Not Reported","Fog, Smog, Smoke","Urban-Collector","no_fatal"
2,22,"Male",,"No","Snow","Urban-Local Road or Street","no_fatal"
6,30,"Female","0.0","No","Clear","Urban-Other Principal Arterial","no_fatal"
6,58,"Female",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
1,70,"Female","0.0","No","Clear","Urban-Collector","no_fatal"
5,,"Unknown",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
3,60,"Male","0.0","No","Cloudy","Rural-Principal Arterial-Other","no_fatal"
1,4,"Female",,"Not Reported","Clear","Rural-Minor Collector","no_fatal"
7,31,"Male","0.0","Not Reported","Clear","Rural-Minor Arterial","no_fatal"
3,84,"Female",,"No","Clear","Urban-Other Principal Arterial","no_fatal"
7,78,"Male","0.0","Unknown","Clear","Urban-Other Principal Arterial","fatal"
6,48,"Female",,"Not Reported","Clear","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
2,43,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
4,11,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
2,,"Male",,"No","Clear","Urban-Principal Arterial-Interstate","no_fatal"
1,59,"Male",,"Not Reported","Clear","Urban-Local Road or Street","no_fatal"
5,24,"Male",,"No","Snow","Rural-Major Collector","no_fatal"
1,54,"Female",,"No","Cloudy","Rural-Major Collector","no_fatal"
4,52,"Male",,"No","Clear","Rural-Principal Arterial-Interstate","no_fatal"
4,14,"Male",,"Not Reported","Cloudy","Rural-Local Road or Street","no_fatal"
6,56,"Female",,"Not Reported","Clear","Rural-Minor Collector","no_fatal"
3,19,"Female",,"Not Reported","Clear","Urban-Collector","no_fatal"
6,3,"Female",,"Not Reported","Clear","Urban-Local Road or Street","no_fatal"
7,41,"Male","0.28","Not Reported","Clear","Rural-Major Collector","fatal"
6,83,"Male","0.0","No","Clear","Urban-Principal Arterial-Other Freeways or Expressways","fatal"
3,72,"Male","0.0","No","Clear","Rural-Principal Arterial-Other","fatal"
7,27,"Male",,"No","Clear","Rural-Principal Arterial-Other","no_fatal"
7,17,"Male","0.11","Yes","Cloudy","Rural-Local Road or Street","fatal"
2,71,"Male","0.0","Yes","Clear","Urban-Other Principal Arterial","fatal"
2,19,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
2,18,"Male","0.0","Yes","Clear","Unknown","no_fatal"
3,57,"Male",,"No","Clear","Urban-Minor Arterial","no_fatal"
1,21,"Male",,"No","Clear","Rural-Major Collector","no_fatal"
2,14,"Female",,"Not Reported","Clear","Urban-Other Principal Arterial","no_fatal"
5,88,"Male","0.01","Not Reported","Clear","Rural-Major Collector","fatal"
6,7,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Other","no_fatal"
1,28,"Male",,"No","Clear","Urban-Collector","no_fatal"
6,36,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Interstate","no_fatal"
3,3,"Male",,"Not Reported","Clear","Rural-Principal Arterial-Interstate","no_fatal"
1,30,"Female",,"Not Reported","Clear","Urban-Collector","no_fatal"
2,28,"Male",,"No","Clear","Urban-Principal Arterial-Interstate","no_fatal"
5,9,"Male",,"No","Cloudy","Rural-Major Collector","no_fatal"
3,18,"Female",,"Not Reported","Cloudy","Rural-Principal Arterial-Interstate","no_fatal"
4,21,"Male","0.28","Not Reported","Clear","Urban-Minor Arterial","fatal"
7,34,"Male",,"Not Reported","Cloudy","Urban-Principal Arterial-Interstate","no_fatal"
6,46,"Female","0.03","Not Reported","Clear","Rural-Principal Arterial-Interstate","fatal"
4,30,"Male","0.25","No","Cloudy","Urban-Collector","no_fatal"
7,13,"Female",,"No","Cloudy","Urban-Principal Arterial-Interstate","no_fatal"
6,52,"Male","0.16","Unknown","Clear","Rural-Local Road or Street","fatal"
7,23,"Female","0.17","No","Clear","Rural-Major Collector","fatal"
3,84,"Female",,"Not Reported","Clear","Urban-Other Principal Arterial","fatal"
1,45,"Male",,"Not Reported","Clear","Urban-Principal Arterial-Other Freeways or Expressways","no_fatal"
2,87,"Female","0.0","No","Cloudy","Rural-Minor Arterial","fatal"
3,40,"Female",,"No","Clear","Urban-Minor Arterial","no_fatal"
1,85,"Female",,"Not Reported","Cloudy","Urban-Other Principal Arterial","no_fatal"
6,17,"Male","0.09","No","Clear","Urban-Other Principal Arterial","no_fatal"
7,70,"Male","0.0","No","Cloudy","Urban-Local Road or Street","fatal"
7,41,"Female",,"No","Clear","Rural-Minor Arterial","no_fatal"
4,59,"Male",,"Unknown","Clear","Urban-Other Principal Arterial","fatal"
3,45,"Male",,"No","Clear","Rural-Principal Arterial-Other","no_fatal"
